StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,Q35,Q56_1,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q89,Q90,Q91,Q92,Q103,Q93,Q94,Q75,Q76,Q77,Q78,Q79,Q80,Q82,Q83,Q84,Q85,Q86,Q87,Q96,Q95,ApproachB_Feedback,ApproachC_Feedback,ApproachA_Feedback,Create New Field or Choose From Dropdown...,ApproachB_Error,ApproachC_Error
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please Enter Your Age,To which gender identity do you most identify?,What is your nationality? - Nationality,"The term ""power-driven vessel"" refers to any vessel __________.","A vessel ""restricted in her ability to maneuver"" is one which __________.","Which statement is TRUE, according to the Rules?","When two power-driven vessels are meeting head-on and there is a risk of collision, which action is required to be taken?",Which describes a head-on situation?,"Your vessel is underway in reduced visibility. You hear the fog signal of another vessel about 30° on your starboard bow. If danger of collision exists, which action(s) are you required to take?",You have sighted three red lights in a vertical line on another vessel dead ahead at night. Which vessel would display these lights?,"By radar alone, you detect a vessel ahead on a collision course, about 3 miles distant. Your radar plot shows this to be a meeting situation. Which action should you take?",A vessel may exhibit lights other than those prescribed by the Rules as long as the additional lights meet which requirement(s)?,"Correctness for Feedback A

Does the feedback accurately reflect your pre-assessment responses and highlight relevant weaknesses or knowledge gaps?","Sufficiency for Feedback A

Does the feedback provide enough information to help you understand your performance and guide your future learning?","Usefulness for Feedback A

Is the feedback practical and applicable to improving your future performance or learning strategies?","Clarity for Feedback A

Is the feedback communicated in a clear and understandable way, without ambiguity or confusion?","Attention Check

To confirm you're reading the questions carefully, please select Low from the options below.","Adaptiveness for Feedback A

Is the feedback tailored to your specific responses and learning needs?","Motivational Impact for Feedback A

Did the feedback encourage or motivate you to improve your knowledge or performance?","Correctness for Feedback B

Does the feedback accurately reflect your pre-assessment responses and highlight relevant weaknesses or knowledge gaps?","Sufficiency for Feedback B

Does the feedback provide enough information to help you understand your performance and guide your future learning?","Usefulness for Feedback B

Is the feedback practical and applicable to improving your future performance or learning strategies?","Clarity for Feedback B

Is the feedback communicated in a clear and understandable way, without ambiguity or confusion?","Adaptiveness for Feedback B

Is the feedback tailored to your specific responses and learning needs?","Motivational Impact for Feedback B

Did the feedback encourage or motivate you to improve your knowledge or performance?","Correctness for Feedback C

Does the feedback accurately reflect your pre-assessment responses and highlight relevant weaknesses or knowledge gaps?","Sufficiency for Feedback C

Does the feedback provide enough information to help you understand your performance and guide your future learning?","Usefulness for Feedback C

Is the feedback practical and applicable to improving your future performance or learning strategies?","Clarity for Feedback C

Is the feedback communicated in a clear and understandable way, without ambiguity or confusion?","Adaptiveness for Feedback C

Is the feedback tailored to your specific responses and learning needs?","Motivational Impact for Feedback C

Did the feedback encourage or motivate you to improve your knowledge or performance?","Which Feedback Was Most Beneficial for You?

    Please share which type of feedback you found most helpful during your training experience. Your response will assist us in improving the maritime training program.","Additional Comments (Optional)

Please share any additional feedback regarding your experience with the AI. We welcome your thoughts on its correctness, clarity, tone, and any other aspects you feel could be improved. Your detailed insights are invaluable in helping us enhance maritime training systems.",ApproachB_Feedback,ApproachC_Feedback,ApproachA_Feedback,Create New Field or Choose From Dropdown...,ApproachB_Error,ApproachC_Error
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID1""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID27""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID103""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID96""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""ApproachB_Feedback""}","{""ImportId"":""ApproachC_Feedback""}","{""ImportId"":""ApproachA_Feedback""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""ApproachB_Error""}","{""ImportId"":""ApproachC_Error""}"
2025-04-30 10:17:17,2025-04-30 10:19:36,IP Address,152.37.123.138,100,138,True,2025-04-30 10:19:37,R_80pwCPvnktwFnlW,,,,,51.5088,-0.093,anonymous,EN,64,Male,British,with propelling machinery in use,through some exceptional circumstance is unable to maneuver as required by the rules,A vessel constrained by her draft shall keep out of the way of a vessel engaged in fishing.,Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Maintain course and speed and sound at least five short blasts of the whistle,do not impair the visibility or distinctive character of the prescribed lights,Moderate,Moderate,Moderate,Moderate,,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Feedback Approach B,,,,,,,
2025-04-30 16:16:59,2025-04-30 16:34:27,IP Address,212.39.178.77,100,1047,True,2025-04-30 16:34:27,R_2nDaWdcLsbq2t8f,,,,,54.6346,-5.8253,anonymous,EN,25,Male,Turkish,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,High,High,High,High,,High,High,High,High,High,High,Moderate,High,Moderate,Moderate,Moderate,Moderate,High,High,Feedback Approach C,,,,,,,
2025-04-30 13:53:25,2025-04-30 16:43:00,IP Address,185.118.176.155,100,10174,True,2025-04-30 16:43:00,R_6AEbi3PnAG6qxEU,,,,,39.9986,32.8554,anonymous,EN,27,Male,Turkish,with propelling machinery onboard whether in use or not,from the nature of her work is unable to maneuver as required by the rules,A vessel constrained by her draft shall keep out of the way of a vessel engaged in fishing.,Both vessels shall stop their engines,Seeing two forward white towing lights in a vertical line on a towing vessel directly ahead,Slow your engines and let the other vessel pass ahead of you,A vessel aground,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,Moderate,High,High,Moderate,,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,High,Feedback Approach A,,,,,,,
2025-05-01 16:49:31,2025-05-01 16:57:11,IP Address,129.222.135.25,100,459,True,2025-05-01 16:57:12,R_3auczQyWlighsI1,,,,,25.7701,-80.1928,anonymous,EN,25,Male,Turkish,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,High,High,High,High,,High,Moderate,High,High,High,High,High,High,High,High,High,High,High,High,Feedback Approach A,,,,,,,
2025-05-02 16:16:27,2025-05-02 16:34:39,IP Address,176.55.77.199,100,1092,True,2025-05-02 16:34:40,R_3YnTmZwd2SFMxoR,,,,,41.0145,28.9533,anonymous,EN,35,Male,Turkish,with propelling machinery onboard whether in use or not,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel aground,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,Moderate,Low,Very Low,Moderate,,Moderate,Very Low,Very Low,Moderate,Very Low,Very Low,Very Low,Low,Low,Very Low,Very Low,Moderate,Very Low,Low,Feedback Approach B,,,,,,,
2025-05-02 17:00:32,2025-05-02 17:10:34,IP Address,130.159.237.13,100,601,True,2025-05-02 17:10:35,R_8I5UqTrE248un0e,,,,,55.867,-4.2621,anonymous,EN,70,Male,Indian,with propelling machinery onboard whether in use or not,has lost steering and is unable to maneuver,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to port and pass the other vessel on its port side,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,Moderate,Moderate,Moderate,Moderate,,Low,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Low,Feedback Approach B,,,,,,,
2025-05-02 18:49:42,2025-05-02 19:12:49,IP Address,212.252.139.56,100,1387,True,2025-05-02 19:12:51,R_4p3h2idvXVkmbcl,,,,,38.3876,27.06,anonymous,EN,52,Male,Turkish,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,A vessel constrained by her draft shall keep out of the way of a vessel engaged in fishing.,Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,Extremely Low,Extremely Low,Very Low,Low,,Very Low,Low,Moderate,Moderate,Moderate,High,Moderate,Moderate,Very Low,Extremely Low,Low,Moderate,High,Low,Feedback Approach B,"Along with possible feedback on why wrong answers were chosen, information can also be provided on why they are not correct. In addition, perhaps clearer definitions of environmental conditions in the questions can increase the accuracy of the questions.",,,,,,
2025-05-04 09:14:56,2025-05-04 09:28:02,IP Address,188.119.2.239,100,785,True,2025-05-04 09:28:03,R_911eNTDOLWQMkbH,,,,,36.2862,36.2445,anonymous,EN,20,Male,Turkish,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,A vessel not under command shall avoid impeding the safe passage of a vessel constrained by her draft.,Both vessels alter course to starboard,Seeing two forward white towing lights in a vertical line on a towing vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel dredging,Turn the vessel to starboard,All of the above,High,High,High,High,,High,High,Moderate,Moderate,High,Moderate,Moderate,High,High,High,High,High,High,High,Feedback Approach B,,,,,,,
